sample_id,result_dir,mask_ratio,method,layer,n,rmse,mae,cos,pearson_r
151670,151670_seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,gt_positive,254185,0.07805623063903623,0.02590476893978217,0.9606076694591944,0.9565652062981143
151671,151671_seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,gt_positive,530884,0.0819359219430285,0.025900854365613964,0.9532265891545117,0.9479640466064023
151672,151672_seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,gt_positive,319430,0.07937905203353082,0.026107084764654998,0.9588380894788433,0.9532930306114472
151673,seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,gt_positive,293387,0.08671390598098283,0.030130553024260563,0.9419301592827989,0.9351659124981004
151674,151674_seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,gt_positive,770276,0.09816078917672294,0.03299127366710022,0.9113252718083873,0.9013704955712816
151675,151675_seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,gt_positive,229563,0.08622323663634407,0.027882108050976687,0.9359497499886872,0.9288797179380122
151676,151676_seed1531_e100_per_site_random_60_seed1531,60,AIRDiff-ST,gt_positive,318555,0.09024935825797493,0.029480659378815294,0.9266760653647674,0.9180150071896523
151507,151507_seed2874_e100_per_site_random_60_seed2874,60,AIRGate-ST,gt_positive,290775,0.07906501555082342,0.026445473603580814,0.9514491214360143,0.9459566129793415
151508,151508_seed2874_e100_per_site_random_60_seed2874,60,AIRGate-ST,gt_positive,248539,0.07998932137577329,0.02451722191253299,0.9496602924207549,0.9447189699444187
151509,151509_seed2874_e100_per_site_random_60_seed2874,60,AIRGate-ST,gt_positive,275983,0.08423523823685035,0.031192820170596273,0.952844802113451,0.9462430801688645
151510,151510_seed2874_e100_per_site_random_60_seed2874,60,AIRGate-ST,gt_positive,264068,0.08298955357524883,0.028198184935363798,0.9517886027643335,0.9459797387293661
151669,151669_seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,gt_positive,379565,0.07458687129050762,0.025497053248446422,0.9606730646381695,0.9557433563906889
151670,151670_seed1531_e100_per_site_random_60_seed1531,60,AIRGate-ST,gt_positive,254185,0.06909208574764006,0.022906154115612726,0.9684819157243442,0.9647187638044875
